# The format of each line is
# <NearAS,  NearBR,  FarAS,  DstPrfx>|(FarIPs)
<AS6939, sto1, AS30880, 193.27.201.0/24>|(192.121.80.156, 192.121.80.171, 194.68.128.29)
<AS6939, sto1, AS31027, 82.192.179.0/24>|(195.69.119.22, 195.245.240.22, 194.68.128.22, 194.68.123.22)
<AS6939, sto1, AS32590, 162.254.198.0/24>|(109.239.136.241, 178.18.225.125, 192.121.80.48, 192.121.80.243)
<AS6939, sto1, AS32787, 62.172.140.0/24>|(194.68.123.70, 194.68.128.70)
<AS6939, sto1, AS33438, 81.171.61.0/24>|(195.245.240.150, 194.68.128.150, 194.68.123.150, 195.69.119.150)
<AS6939, sto1, AS35706, 91.212.209.0/24>|(194.68.128.153, 195.69.119.153, 194.68.123.153, 195.245.240.153)
<AS6939, sto1, AS36236, 185.178.200.0/24>|(194.68.123.139, 194.68.128.139)
<AS6939, sto1, AS39351, 141.98.252.0/24>|(192.121.80.246, 194.68.123.179, 193.110.13.161, 193.110.12.161)
<AS6939, sto1, AS39642, 192.66.101.0/24>|(195.245.240.110, 194.68.123.110, 194.68.128.110, 195.69.119.110)
<AS6939, sto1, AS39651, 77.218.36.0/24>|(192.121.80.25, 192.121.80.24, 194.68.128.156, 194.68.123.156)
<AS6939, sto1, AS42237, 193.105.134.0/24>|(193.110.13.160, 192.121.80.86)
<AS6939, sto1, AS42303, 91.220.58.0/24>|(192.121.80.189, 192.121.80.190)
<AS6939, sto1, AS42632, 146.255.196.0/24>|(109.239.136.37, 178.18.226.32)
<AS6939, sto1, AS42708, 194.68.37.0/24>|(192.121.80.140, 195.245.240.194, 194.68.123.194, 185.1.107.26)
<AS6939, sto1, AS43727, 5.187.64.0/24>|(194.68.128.192, 216.66.80.70, 194.68.123.192)
<AS6939, sto1, AS44444, 85.115.37.0/24>|(194.68.128.131, 194.68.123.131, 192.121.80.68)
<AS6939, sto1, AS45011, 89.236.38.0/24>|(192.121.80.90, 195.69.119.100, 194.68.128.100, 194.68.123.100)
<AS6939, sto1, AS46489, 192.108.239.0/24>|(195.69.119.83, 195.245.240.83, 194.68.128.83, 194.68.123.83)
<AS6939, sto1, AS47708, 192.121.194.0/24>|(192.121.80.184, 194.68.128.93)
<AS6939, sto1, AS47764, 185.187.63.0/24>|(109.239.137.248, 109.239.137.249, 109.239.137.234, 178.18.226.33)
<AS6939, sto1, AS50304, 185.35.200.0/24>|(192.121.80.212, 193.110.13.134, 109.239.136.34, 178.18.227.30)
<AS6939, sto1, AS50989, 192.165.250.0/24>|(193.110.13.143, 193.110.12.143)
<AS6939, sto1, AS51430, 37.46.120.0/24>|(194.68.123.39, 194.68.128.39)
<AS6939, sto1, AS51468, 91.198.169.0/24>|(194.68.128.221, 194.68.123.221)
<AS6939, sto1, AS54113, 104.156.81.0/24>|(192.121.80.72, 192.121.80.71)
<AS6939, sto1, AS57208, 91.215.93.0/24>|(194.68.123.48, 194.68.128.48, 192.121.80.55)
<AS6939, sto1, AS59835, 77.80.253.0/24>|(194.68.128.36, 194.68.123.36)
<AS6939, sto1, AS197888, 193.160.158.0/24>|(178.18.224.124, 178.18.224.123)
<AS6939, sto1, AS198093, 171.25.193.0/24>|(192.121.80.46, 192.121.80.225)
<AS6939, sto1, AS394354, 162.219.55.0/24>|(194.68.123.237, 193.110.13.155, 194.68.128.237, 192.121.80.62)
<AS6939, tor1, AS10310, 68.142.248.0/24>|(206.108.35.41, 206.108.35.40)
<AS6939, tor1, AS13335, 108.162.239.0/24>|(198.32.181.56, 206.108.34.208, 206.53.203.8)
<AS6939, tor1, AS13895, 69.90.14.0/24>|(206.108.34.206, 206.108.35.9)
<AS6939, tor1, AS16509, 205.251.193.0/24>|(206.108.35.37, 206.108.35.36)
<AS6939, tor1, AS27299, 162.219.53.0/24>|(216.66.24.171, 216.66.24.170)
<AS6939, tor1, AS30407, 104.234.254.0/24>|(216.66.36.90, 216.66.15.62, 209.51.163.242, 209.51.161.222)
<AS6939, tor1, AS46489, 192.108.239.0/24>|(206.108.35.51, 206.108.35.45)
<AS6939, tor1, AS54113, 104.156.80.0/24>|(206.108.35.31, 206.108.35.30)
<AS6939, tpe1, AS714, 17.0.109.0/24>|(203.163.222.69, 203.163.222.70)
<AS6939, tpe1, AS8075, 104.44.238.0/24>|(203.163.222.85, 203.163.222.15)
<AS6939, tpe1, AS10310, 203.84.212.0/24>|(203.163.222.37, 203.163.222.36)
<AS6939, tpe1, AS17809, 203.222.31.0/24>|(184.104.208.139, 184.104.208.138)
<AS6939, tpe1, AS18182, 219.84.214.0/24>|(203.163.222.22, 203.163.222.23)
<AS6939, tyo1, AS714, 17.0.109.0/24>|(203.190.230.107, 210.171.224.164, 203.190.230.109, 210.171.224.64)
<AS6939, tyo1, AS2497, 103.2.57.0/24>|(210.173.176.219, 210.173.176.190)
<AS6939, tyo1, AS2519, 1.1.103.0/24>|(210.173.176.25, 210.171.224.101, 203.190.230.19)
<AS6939, tyo1, AS2635, 192.0.66.0/24>|(218.100.6.107, 210.173.176.196, 203.190.230.104)
<AS6939, tyo1, AS2907, 160.18.2.0/24>|(210.173.176.94, 210.171.224.150)
<AS6939, tyo1, AS4637, 42.99.210.0/24>|(216.218.221.150, 210.173.176.24)
<AS6939, tyo1, AS4775, 1.37.237.0/24>|(210.171.224.75, 210.173.176.232, 74.82.49.178)
<AS6939, tyo1, AS7529, 202.17.189.0/24>|(210.171.224.111, 210.173.176.107, 218.100.6.94)
<AS6939, tyo1, AS8075, 104.44.238.0/24>|(210.171.224.110, 210.173.176.16, 203.190.230.24, 210.171.224.116)
<AS6939, tyo1, AS8674, 194.146.106.0/24>|(210.173.176.43, 210.171.224.14)
<AS6939, tyo1, AS9370, 27.133.247.0/24>|(203.190.230.94, 210.171.224.113, 210.173.176.63)
<AS6939, tyo1, AS9993, 182.50.172.0/24>|(210.171.224.106, 210.173.176.195)
<AS6939, tyo1, AS10010, 202.216.79.0/24>|(210.173.176.229, 203.190.230.13, 210.171.224.124, 210.171.224.224)
<AS6939, tyo1, AS10310, 27.123.36.0/24>|(203.190.230.128, 210.171.224.44, 210.171.224.45, 203.190.230.15)
<AS6939, tyo1, AS13335, 162.159.0.0/24>|(210.173.176.127, 218.100.6.62, 210.171.224.134)
<AS6939, tyo1, AS13414, 104.244.40.0/24>|(203.190.230.64, 210.173.176.152, 210.173.176.134, 203.190.230.101)
<AS6939, tyo1, AS14537, 5.62.86.0/24>|(210.173.176.93, 210.171.224.37, 203.190.230.137)
<AS6939, tyo1, AS15133, 68.232.44.0/24>|(203.190.230.96, 203.190.230.32, 210.171.224.234, 210.173.176.74)
<AS6939, tyo1, AS15169, 104.134.92.0/24>|(203.190.230.31, 210.171.224.95, 210.173.176.245, 210.173.176.243)
<AS6939, tyo1, AS17676, 100.42.26.0/24>|(218.100.6.11, 218.100.6.16)
<AS6939, tyo1, AS17686, 43.253.49.0/24>|(210.173.176.69, 218.100.6.54, 210.171.224.223)
<AS6939, tyo1, AS17707, 125.6.130.0/24>|(210.173.176.29, 203.190.230.80)
<AS6939, tyo1, AS18126, 103.64.135.0/24>|(210.171.224.217, 210.173.176.199)
<AS6939, tyo1, AS18135, 203.211.45.0/24>|(218.100.6.103, 210.171.224.154)
<AS6939, tyo1, AS18260, 192.218.200.0/24>|(210.171.224.71, 210.173.176.79)
<AS6939, tyo1, AS18403, 1.52.30.0/24>|(203.190.230.127, 210.173.176.225, 218.100.6.171)
<AS6939, tyo1, AS19679, 162.125.80.0/24>|(210.171.224.207, 210.173.176.123)
<AS6939, tyo1, AS22822, 208.111.184.0/24>|(203.190.230.1, 218.100.6.140, 210.171.224.123)
<AS6939, tyo1, AS23576, 203.104.170.0/24>|(218.100.6.80, 203.190.230.85, 210.173.176.182)
<AS6939, tyo1, AS23620, 203.209.145.0/24>|(210.173.176.66, 218.100.6.42, 210.171.224.137)
<AS6939, tyo1, AS32787, 27.105.82.0/24>|(210.171.224.197, 218.100.6.86, 210.173.176.122)
<AS6939, tyo1, AS33353, 100.42.109.0/24>|(210.171.224.81, 203.190.230.117)
<AS6939, tyo1, AS33438, 103.66.28.0/24>|(203.190.230.177, 203.190.230.178, 210.171.224.132, 210.173.176.210)
<AS6939, tyo1, AS38001, 103.14.79.0/24>|(210.171.224.220, 203.190.230.143, 218.100.6.27)
<AS6939, tyo1, AS38195, 27.122.112.0/24>|(203.190.230.158, 218.100.6.24)
<AS6939, tyo1, AS41095, 45.116.8.0/24>|(218.100.6.124, 210.173.176.161)
<AS6939, tyo1, AS44444, 157.167.26.0/24>|(218.100.6.206, 203.190.230.81)
<AS6939, tyo1, AS46489, 192.108.239.0/24>|(203.190.230.118, 203.190.230.119, 210.173.176.149, 210.173.176.150)
<AS6939, tyo1, AS49544, 31.204.145.0/24>|(210.171.224.138, 203.190.230.125, 218.100.6.121)
<AS6939, tyo1, AS54113, 104.156.80.0/24>|(203.190.230.150, 210.171.225.31, 210.171.225.30, 203.190.230.148)
<AS6939, tyo1, AS58453, 223.118.41.0/24>|(203.190.230.108, 210.171.224.198)
<AS6939, tyo1, AS199524, 5.188.71.0/24>|(218.100.6.201, 218.100.7.26, 210.173.176.89, 210.171.224.145)
<AS6939, vie1, AS1764, 20.154.74.0/24>|(193.203.0.121, 193.203.0.22)
<AS6939, vie1, AS3330, 193.43.212.0/24>|(193.203.0.14, 193.203.0.13)
<AS6939, vie1, AS5403, 192.152.54.0/24>|(193.203.0.5, 193.203.0.15)
<AS6939, vie1, AS8339, 91.209.2.0/24>|(193.203.0.18, 193.203.0.10)
<AS6939, vie1, AS8387, 212.31.68.0/24>|(193.203.0.26, 193.203.0.12)
<AS6939, vie1, AS8447, 192.164.39.0/24>|(193.203.0.21, 193.203.0.11)
<AS6939, vie1, AS10310, 188.125.88.0/24>|(193.203.0.242, 193.203.0.42)
<AS6939, vno1, AS13335, 162.159.1.0/24>|(185.1.92.34, 77.241.206.33, 185.1.113.4)
<AS6939, vno1, AS16125, 89.35.178.0/24>|(216.66.90.163, 216.66.90.162)
<AS6939, waw1, AS8075, 104.44.238.0/24>|(195.182.218.146, 195.182.218.167)
<AS6939, waw1, AS10310, 87.248.106.0/24>|(195.182.218.160, 195.182.219.126)
<AS6939, waw1, AS13335, 173.245.49.0/24>|(212.91.0.28, 195.182.218.134)
<AS6939, waw1, AS15169, 108.177.104.0/24>|(195.182.219.69, 212.91.0.250)
<AS6939, waw1, AS16276, 46.105.198.0/24>|(195.149.232.99, 195.149.232.234, 195.182.218.147, 212.91.0.242)
<AS6939, waw1, AS25154, 212.91.18.0/24>|(185.1.4.199, 185.1.4.99, 212.91.0.56, 212.91.0.57)
<AS6939, waw1, AS31229, 193.187.64.0/24>|(185.1.4.203, 195.182.218.129)
<AS6939, waw1, AS39375, 89.161.25.0/24>|(195.149.232.161, 195.182.218.32)
<AS6939, waw1, AS41201, 87.199.0.0/24>|(212.91.0.54, 195.182.218.244)
<AS6939, waw1, AS44033, 193.22.83.0/24>|(185.1.4.124, 185.1.4.24)
<AS6939, waw1, AS46489, 192.108.239.0/24>|(195.182.218.225, 195.182.218.245)
<AS6939, waw1, AS49544, 185.179.200.0/24>|(195.149.232.203, 195.182.218.80)
<AS6939, waw1, AS49895, 46.254.76.0/24>|(212.91.0.139, 212.91.0.35)
<AS6939, waw1, AS51290, 91.216.191.0/24>|(195.149.232.114, 195.182.218.246)
<AS6939, waw1, AS198591, 91.236.232.0/24>|(212.91.1.41, 195.182.218.137)
<AS6939, ywg1, AS18451, 44.135.120.0/24>|(216.66.74.58, 216.66.74.59)
<AS6939, ywg1, AS46920, 199.229.220.0/24>|(206.72.208.22, 206.126.109.31)
<AS6939, yxe1, AS22950, 192.139.75.0/24>|(66.220.3.187, 66.220.3.186)
<AS6939, yxe1, AS55017, 104.219.220.0/24>|(184.105.154.78, 216.218.163.10)
